IMP,Task ID,SAN,Status (disk),Shipped,Milestone,In Linear,Spec path,Title
171,EVP-040-postmvp,SAN-143,"Open",no,"Phase 2 — Events discovery",yes,tasks/events/EVP-040-postmvp-post-event-follow-up.md,"Post-event follow-up assistant"
172,EVP-041-advanced,SAN-144,"Open",no,"Phase 2 — Events discovery",yes,tasks/events/EVP-041-advanced-community-relationship-graph.md,"Community relationship graph"
173,EVP-042-mvp,SAN-145,"Open",no,"Phase 2 — Events discovery",yes,tasks/events/EVP-042-mvp-smart-recommendations-compatibility.md,"Smart event recommendations and compatibility score"
174,EVP-043-mvp,SAN-146,"Open",no,"Phase 2 — Events discovery",yes,tasks/events/EVP-043-mvp-neighborhood-safety-transit-intelligence.md,"Neighborhood, safety, transit, and weather intelligence"
175,EVP-044-mvp,SAN-147,"Open",no,"Phase 2 — Events discovery",yes,tasks/events/EVP-044-mvp-whatsapp-community-links.md,"WhatsApp and community links"
176,EVP-045-mvp,SAN-148,"Open",no,"Phase 2 — Events discovery",yes,tasks/events/EVP-045-mvp-host-pricing-moderation-basics.md,"Host pricing suggestions and moderation basics"
177,EVP-046-mvp,SAN-149,"Open",no,"Phase 2 — Events discovery",yes,tasks/events/EVP-046-mvp-live-event-updates.md,"Live event updates feed"
178,EVP-047-postmvp,SAN-150,"Open",no,"Phase 2 — Events discovery",yes,tasks/events/EVP-047-postmvp-ai-night-itinerary-builder.md,"AI night itinerary builder"
179,GS-005,SAN-227,"Not Started",no,"Deferred — Grounding search",yes,tasks/grounding-search/tasks/GS-005-verify-ticket-venue-tools.md,"Verify ticket source + venue update tools"
180,GS-006,SAN-228,"Not Started",no,"Deferred — Grounding search",yes,tasks/grounding-search/tasks/GS-006-tool-combination-spike.md,"Gemini tool combination spike (Search + MCP)"
181,GS-007,SAN-229,"Not Started",no,"Deferred — Grounding search",yes,tasks/grounding-search/tasks/GS-007-restaurant-closure-verify.md,"Restaurant opening / closure verification (Search)"
182,GS-008,SAN-230,"Not Started",no,"Deferred — Grounding search",yes,tasks/grounding-search/tasks/GS-008-neighborhood-news-search.md,"Neighborhood news search (Search fallback)"
183,GS-009,SAN-231,"Not Started",no,"Deferred — Grounding search",yes,tasks/grounding-search/tasks/GS-009-sponsor-research-search.md,"Sponsor research (Search grounding)"
184,OCL-001-core,SAN-187,"Open",no,"Deferred — OpenClaw",yes,tasks/openclaw/tasks/OCL-001-core-gateway-health.md,"OpenClaw gateway health stub"
185,OCL-002-core,SAN-188,"Open",no,"Deferred — OpenClaw",yes,tasks/openclaw/tasks/OCL-002-core-jobs-schema.md,"Supabase openclaw_jobs + automation_approvals"
186,OCL-003-core,SAN-189,"Open",no,"Deferred — OpenClaw",yes,tasks/openclaw/tasks/OCL-003-core-approval-workflow.md,"Mastra openclaw-approval-workflow"
187,OCL-004-core,SAN-190,"Open",no,"Deferred — OpenClaw",yes,tasks/openclaw/tasks/OCL-004-core-clawhub-safety.md,"ClawHub safety policy — no unvetted skills"
188,OCL-005-core,SAN-191,"Open",no,"Deferred — OpenClaw",yes,tasks/openclaw/tasks/OCL-005-core-kill-switch.md,"OPENCLAW_DISABLED kill switch"
189,OCL-006-core,SAN-192,"Open",no,"Deferred — OpenClaw",yes,tasks/openclaw/tasks/OCL-006-core-gemini-vps-config.md,"OpenClaw VPS — Gemini provider + model routing"
190,OCL-007-core,SAN-193,"Open",no,"Deferred — OpenClaw",yes,tasks/openclaw/tasks/OCL-007-core-gateway-token-rotate.md,"Rotate OpenClaw gateway token"
191,OCL-008-mvp,SAN-194,"Open",no,"Deferred — OpenClaw",yes,tasks/openclaw/tasks/OCL-008-mvp-admin-approvals-ui.md,"Admin approvals UI — OpenClaw job preview"
192,OCL-009-mvp,SAN-195,"Open",no,"Deferred — OpenClaw",yes,tasks/openclaw/tasks/OCL-009-mvp-gemini-web-search.md,"OpenClaw web_search — Gemini grounding provider"
193,OCL-010-mvp,SAN-196,"Open",no,"Deferred — OpenClaw",yes,tasks/openclaw/tasks/OCL-010-mvp-tour-enrich-skill.md,"mde-tour-enrich (+ mde-enrichment) SKILL.md pack"
194,OCL-011-mvp,SAN-197,"Open",no,"Deferred — OpenClaw",yes,tasks/openclaw/tasks/OCL-011-mvp-enqueue-openclaw-job.md,"Mastra enqueueOpenClawJob tool"
195,OCL-012-mvp,SAN-198,"Open",no,"Deferred — OpenClaw",yes,tasks/openclaw/tasks/OCL-012-mvp-e2e-approval-safety.md,"E2E — reject OpenClaw job without approval"
196,OCL-013-mvp,SAN-199,"Open",no,"Deferred — OpenClaw",yes,tasks/openclaw/tasks/OCL-013-mvp-coffee-tour-crawler.md,"Coffee tours — source crawler + verify"
197,OCL-014-postmvp,SAN-200,"Open",no,"Deferred — OpenClaw",yes,tasks/openclaw/tasks/OCL-014-postmvp-menu-extraction.md,"Restaurants — menu PDF/HTML extraction"
198,OCL-015-postmvp,SAN-201,"Open",no,"Deferred — OpenClaw",yes,tasks/openclaw/tasks/OCL-015-postmvp-instagram-cafe-discovery.md,"Cafés — Instagram / creator discovery crawl"
199,OCL-016-postmvp,SAN-202,"Open",no,"Deferred — OpenClaw",yes,tasks/openclaw/tasks/OCL-016-postmvp-venue-intelligence.md,"Events — venue intelligence browser enrich"
200,OCL-017-postmvp,SAN-203,"Open",no,"Deferred — OpenClaw",yes,tasks/openclaw/tasks/OCL-017-postmvp-event-directory-import.md,"Events — directory / calendar import"
201,OCL-018-postmvp,SAN-204,"Open",no,"Deferred — OpenClaw",yes,tasks/openclaw/tasks/OCL-018-postmvp-listing-enrichment.md,"Real estate — listing enrichment crawl"
202,OCL-019-postmvp,SAN-205,"Open",no,"Deferred — OpenClaw",yes,tasks/openclaw/tasks/OCL-019-postmvp-sponsor-prospect-research.md,"Marketing — sponsor prospect research"
203,OCL-020-postmvp,SAN-206,"Open",no,"Deferred — OpenClaw",yes,tasks/openclaw/tasks/OCL-020-postmvp-seo-competitor-monitor.md,"Marketing — local SEO / competitor page monitor"
204,OCL-021-postmvp,SAN-207,"Open",no,"Deferred — OpenClaw",yes,tasks/openclaw/tasks/OCL-021-postmvp-correlation-observability.md,"Correlation IDs Mastra ↔ OpenClaw"
205,OCL-022-advanced,SAN-208,"Open",no,"Deferred — OpenClaw",yes,tasks/openclaw/tasks/OCL-022-advanced-wa-templates-allowlist.md,"WhatsApp templates + number allowlist"
206,OCL-023-advanced,SAN-209,"Open",no,"Deferred — OpenClaw",yes,tasks/openclaw/tasks/OCL-023-advanced-event-reminders.md,"Events — T-24h reminder WA drafts"
207,OCL-024-advanced,SAN-210,"Open",no,"Deferred — OpenClaw",yes,tasks/openclaw/tasks/OCL-024-advanced-sponsor-roi-screenshots.md,"Events — sponsor ROI browser screenshots"
208,OCL-025-advanced,SAN-211,"Open",no,"Deferred — OpenClaw",yes,tasks/openclaw/tasks/OCL-025-advanced-external-publish-draft.md,"Events — external publish draft (outbox)"
209,OCL-026-advanced,SAN-212,"Open",no,"Deferred — OpenClaw",yes,tasks/openclaw/tasks/OCL-026-advanced-contest-wa-ops.md,"Contests — WA leaderboard / reminder drafts"
210,OCL-027-advanced,SAN-213,"Open",no,"Deferred — OpenClaw",yes,tasks/openclaw/tasks/OCL-027-advanced-postiz-handoff.md,"Marketing — Postiz approved post handoff"
211,OCL-028-advanced,,"Deferred",no,"Deferred — OpenClaw",no,tasks/openclaw/tasks/OCL-028-advanced-paperclip-gates-deferred.md,"Paperclip 15A — security gates before OpenClaw outbound"
212,OCL-029-advanced,,"Deferred",no,"Deferred — OpenClaw",no,tasks/openclaw/tasks/OCL-029-advanced-paperclip-wa-deferred.md,"Paperclip openclaw_gateway WA adapter"
213,OCL-030-postmvp,SAN-214,"Open",no,"Deferred — OpenClaw",yes,tasks/openclaw/tasks/OCL-030-postmvp-apify-plugin-sandbox.md,"Apify OpenClaw plugin sandbox"
214,OCL-031-postmvp,SAN-215,"Open",no,"Deferred — OpenClaw",yes,tasks/openclaw/tasks/OCL-031-postmvp-event-sponsor-decision-maker-map.md,"Events — sponsor decision-maker map"
215,OCL-032-postmvp,SAN-216,"Open",no,"Deferred — OpenClaw",yes,tasks/openclaw/tasks/OCL-032-postmvp-sponsor-proposal-draft-pack.md,"Events — sponsor proposal draft pack"
216,OCL-033-postmvp,SAN-217,"Open",no,"Deferred — OpenClaw",yes,tasks/openclaw/tasks/OCL-033-postmvp-event-vendor-recruitment-research.md,"Events — vendor recruitment research"
217,OCL-034-postmvp,SAN-218,"Open",no,"Deferred — OpenClaw",yes,tasks/openclaw/tasks/OCL-034-postmvp-event-social-intelligence.md,"Events — Instagram/Facebook social intelligence"
218,OCL-035-advanced,SAN-219,"Open",no,"Deferred — OpenClaw",yes,tasks/openclaw/tasks/OCL-035-advanced-approved-channel-campaigns.md,"Events — approved WhatsApp/Postiz/social campaign execution"
219,OCL-036-postmvp,SAN-220,"Open",no,"Deferred — OpenClaw",yes,tasks/openclaw/tasks/OCL-036-postmvp-repo-skill-intake-audit.md,"Events — repo and OpenClaw skill intake audit gate"
220,OCL-037-postmvp,SAN-221,"Open",no,"Deferred — OpenClaw",yes,tasks/openclaw/tasks/OCL-037-postmvp-event-planner-checklist-adapter.md,"Events — event planner checklist adapter"
221,OCL-038-postmvp,SAN-222,"Open",no,"Deferred — OpenClaw",yes,tasks/openclaw/tasks/OCL-038-postmvp-event-source-connector-adapters.md,"Events — public event source connector adapters"
222,OCL-039-postmvp,SAN-223,"Open",no,"Deferred — OpenClaw",yes,tasks/openclaw/tasks/OCL-039-postmvp-event-source-health-monitor.md,"Events — source health and connector drift monitor"
223,OCL-040-postmvp,SAN-224,"Open",no,"Deferred — OpenClaw",yes,tasks/openclaw/tasks/OCL-040-postmvp-event-page-qa-crawler.md,"Events — event page QA crawler"
224,OCL-041-advanced,SAN-225,"Open",no,"Deferred — OpenClaw",yes,tasks/openclaw/tasks/OCL-041-advanced-live-ops-ticker.md,"Events — live ops ticker and role-specific event updates"
225,OCL-042-mvp,SAN-226,"Not Started",no,"Deferred — OpenClaw",yes,tasks/openclaw/tasks/OCL-042-mvp-clawevents-medellin-automation.md,"ClawEvents + OpenClaw — Medellín event ingest worker"
226,CTEST-000,SAN-179,"Draft",no,"Deferred — Contest",yes,tasks/contest/tasks/CTEST-000-diagrams-repo-decisions.md,"Contest diagrams, GitHub repo decisions, and scope gate"
227,CTEST-001,SAN-180,"Draft",no,"Deferred — Contest",yes,tasks/contest/tasks/CTEST-001-supabase-contest-core-schema.md,"Supabase contest core schema and RLS"
228,CTEST-002,SAN-181,"Draft",no,"Deferred — Contest",yes,tasks/contest/tasks/CTEST-002-voting-scoring-ledgers.md,"Voting and judge scoring ledgers"
229,CTEST-003,SAN-182,"Draft",no,"Deferred — Contest",yes,tasks/contest/tasks/CTEST-003-ticket-paid-vote-schema.md,"Tickets and paid-vote payment-derived schema"
230,CTEST-004,SAN-183,"Draft",no,"Deferred — Contest",yes,tasks/contest/tasks/CTEST-004-copilotkit-contest-workspace.md,"CopilotKit contest workspace and approval cards"
231,CTEST-005,SAN-184,"Draft",no,"Deferred — Contest",yes,tasks/contest/tasks/CTEST-005-mastra-gemini-workflows.md,"Mastra and Gemini contest workflows"
232,CTEST-006,SAN-185,"Draft",no,"Deferred — Contest",yes,tasks/contest/tasks/CTEST-006-screens-wireframes.md,"Contest screens, routes, and wireframes"
233,CTEST-007,SAN-186,"Draft",no,"Deferred — Contest",yes,tasks/contest/tasks/CTEST-007-playwright-proof-gates.md,"Contest Playwright proof gates"
